Name,Tier,rare,elite,eliteonly,ilvlreq to spawn,affix type,plvlreq,maxlevel,frequency,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,variance,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
,5,1,1,0,,,5,,2,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Acid Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,24,acid-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,24,acid-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,24,acid-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,24,acid-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,24,acid-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Lightning Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,25,light-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,25,light-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,25,light-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,25,light-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,25,light-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,25,light-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,25,light-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,25,light-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,25,light-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,25,light-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Spark Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,26,spark-def,minblock,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,2,1,1,0,,,2,,8,26,spark-def,minblock + 5,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,3,1,1,0,,,3,,6,26,spark-def,minblock + 10,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,4,1,1,0,,,4,,4,26,spark-def,minblock + 15,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,5,1,1,0,,,5,,2,26,spark-def,minblock + 20,maxblock * plvl,,,,,,,1,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,1,,10,26,spark-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,2,1,1,0,,,2,,8,26,spark-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,3,1,1,0,,,3,,6,26,spark-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,4,1,1,0,,,4,,4,26,spark-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
,5,1,1,0,,,5,,2,26,spark-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,1,Magic Weapon,,,,,,,,,,,
Enhanced Fire %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,27,enh-fire,10,20,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,10,,,,9,27,enh-fire,21,30,,,,,,,,Weapon,Shield,,,,,,,,,,
,3,1,1,0,22,,,,8,27,enh-fire,31,45,,,,,,,,Weapon,Shield,,,,,,,,,,
,4,1,1,0,37,,,,7,27,enh-fire,46,60,,,,,,,,Weapon,Shield,,,,,,,,,,
,5,1,0,0,55,,,,6,27,enh-fire,61,80,,,,,,,,Weapon,Shield,,,,,,,,,,
,6,0,0,0,80,,,,5,27,enh-fire,81,ilvl,,,,,,,,Weapon,Shield,,,,,,,,,,
Enhanced Cold %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,28,enh-cold,10,20,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,10,,,,9,28,enh-cold,21,30,,,,,,,,Weapon,Shield,,,,,,,,,,
,3,1,1,0,22,,,,8,28,enh-cold,31,45,,,,,,,,Weapon,Shield,,,,,,,,,,
,4,1,1,0,37,,,,7,28,enh-cold,46,60,,,,,,,,Weapon,Shield,,,,,,,,,,
,5,1,0,0,55,,,,6,28,enh-cold,61,80,,,,,,,,Weapon,Shield,,,,,,,,,,
,6,0,0,0,80,,,,5,28,enh-cold,81,ilvl,,,,,,,,Weapon,Shield,,,,,,,,,,
Enhanced Electric %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,29,enh-light,10,20,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,10,,,,9,29,enh-light,21,30,,,,,,,,Weapon,Shield,,,,,,,,,,
,3,1,1,0,22,,,,8,29,enh-light,31,45,,,,,,,,Weapon,Shield,,,,,,,,,,
,4,1,1,0,37,,,,7,29,enh-light,46,60,,,,,,,,Weapon,Shield,,,,,,,,,,
,5,1,0,0,55,,,,6,29,enh-light,61,80,,,,,,,,Weapon,Shield,,,,,,,,,,
,6,0,0,0,80,,,,5,29,enh-light,81,ilvl,,,,,,,,Weapon,Shield,,,,,,,,,,
Enhanced Poison %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,30,enh-pois,10,20,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,10,,,,9,30,enh-pois,21,30,,,,,,,,Weapon,Shield,,,,,,,,,,
,3,1,1,0,22,,,,8,30,enh-pois,31,45,,,,,,,,Weapon,Shield,,,,,,,,,,
,4,1,1,0,37,,,,7,30,enh-pois,46,60,,,,,,,,Weapon,Shield,,,,,,,,,,
,5,1,0,0,55,,,,6,30,enh-pois,61,80,,,,,,,,Weapon,Shield,,,,,,,,,,
,6,0,0,0,80,,,,5,30,enh-pois,81,ilvl,,,,,,,,Weapon,Shield,,,,,,,,,,
Critical Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,10,,,,10,31,crit,2,3,,,,,,,,Weapon,Jewelry,,,,,,,,,,
,2,0,1,1,22,,,,9,31,crit,4,5,,,,,,,,Weapon,Jewelry,,,,,,,,,,
,3,0,1,1,40,,,,8,31,crit,6,8,,,,,,,,Weapon,,,,,,,,,,,
,4,0,1,1,53,,,,7,31,crit,9,11,,,,,,,,Weapon,,,,,,,,,,,
,5,0,1,1,75,,,,6,31,crit,12,15,,,,,,,,Weapon,,,,,,,,,,,
First Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,20,,,,,32,first-str,20,20,,,,,,,,Weapon,"//Note: First strike = if your character attacks first, this weapon deals 20% more damage",,,,,,,,,,
Life Steal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,5,,,,10,33,life-ste,1,2,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,2,0,1,1,16,,,,9,33,life-ste,3,4,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,3,0,1,1,28,,,,8,33,life-ste,5,6,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,4,0,1,1,44,,,,7,33,life-ste,7,8,,,,,,,,Weapon,,,,,,,,,,,
,5,0,1,1,60,,,,6,33,life-ste,9,10,,,,,,,,Weapon,,,,,,,,,,,
Mana Steal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,5,,,,10,34,mana-ste,1,2,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,2,0,1,1,16,,,,9,34,mana-ste,3,4,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,3,0,1,1,28,,,,8,34,mana-ste,5,6,,,,,,,,Weapon,Jewelry,Armor,,,,,,,,,
,4,0,1,1,44,,,,7,34,mana-ste,7,8,,,,,,,,Weapon,,,,,,,,,,,
,5,0,1,1,60,,,,6,34,mana-ste,9,10,,,,,,,,Weapon,,,,,,,,,,,
Life Per Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,16,,,,10,35,life-per,1,2,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,24,,,,9,35,life-per,3,4,,,,,,,,Weapon,,,,,,,,,,,
,3,1,1,0,35,,,,8,35,life-per,5,7,,,,,,,,Weapon,,,,,,,,,,,
,4,1,0,0,52,,,,7,35,life-per,8,10,,,,,,,,Weapon,,,,,,,,,,,
,5,0,0,0,60,,,,6,35,life-per,11,15,,,,,,,,Weapon,//Note: Local on Weapon,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,20,,,,10,35,life-per,1,2,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,1,1,0,41,,,,8,35,life-per,3,4,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,0,0,0,62,,,,6,35,life-per,5,7,,,,,,,,Armor,Jewelry,,,,,,,,,,
Mana Per Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,16,,,,10,36,mana-per,1,2,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,24,,,,9,36,mana-per,3,4,,,,,,,,Weapon,,,,,,,,,,,
,3,1,1,0,35,,,,8,36,mana-per,5,7,,,,,,,,Weapon,,,,,,,,,,,
,4,1,0,0,52,,,,7,36,mana-per,8,10,,,,,,,,Weapon,,,,,,,,,,,
,5,0,0,0,60,,,,6,36,mana-per,11,15,,,,,,,,Weapon,//Note: Local on Weapon,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,20,,,,10,36,mana-per,1,2,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,1,1,0,41,,,,8,36,mana-per,3,4,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,0,0,0,62,,,,6,36,mana-per,5,7,,,,,,,,Armor,Jewelry,,,,,,,,,,
Reflect Fire %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,37,refl-fire,4,6,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,37,refl-fire,7,10,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,37,refl-fire,11,15,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,37,refl-fire,16,20,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,37,refl-fire,21,25,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,37,refl-fire,26,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,37,refl-fire,3,5,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,37,refl-fire,6,8,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,37,refl-fire,9,15,,,,,,,,Weapon,,,,,,,,,,,
Reflect Cold %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,37,refl-cold,4,6,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,37,refl-cold,7,10,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,37,refl-cold,11,15,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,37,refl-cold,16,20,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,37,refl-cold,21,25,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,37,refl-cold,26,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,37,refl-cold,3,5,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,37,refl-cold,6,8,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,37,refl-cold,9,15,,,,,,,,Weapon,,,,,,,,,,,
Reflect Poison %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,37,refl-pois,4,6,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,37,refl-pois,7,10,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,37,refl-pois,11,15,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,37,refl-pois,16,20,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,37,refl-pois,21,25,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,37,refl-pois,26,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,37,refl-pois,3,5,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,37,refl-pois,6,8,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,37,refl-pois,9,15,,,,,,,,Weapon,,,,,,,,,,,
Reflect Electric %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,37,refl-elec,4,6,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,37,refl-elec,7,10,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,37,refl-elec,11,15,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,37,refl-elec,16,20,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,37,refl-elec,21,25,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,37,refl-elec,26,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,37,refl-elec,3,5,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,37,refl-elec,6,8,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,37,refl-elec,9,15,,,,,,,,Weapon,,,,,,,,,,,
Reflect Heat %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-heat,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-heat,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-heat,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-heat,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-heat,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-heat,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-heat,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-heat,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-heat,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Burn %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-burn,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-burn,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-burn,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-burn,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-burn,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-burn,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-burn,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-burn,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-burn,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Water %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-wat,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-wat,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-wat,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-wat,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-wat,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-wat,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-wat,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-wat,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-wat,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Ice %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-ice,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-ice,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-ice,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-ice,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-ice,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-ice,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-ice,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-ice,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-ice,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Venom %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-ven,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-ven,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-ven,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-ven,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-ven,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-ven,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-ven,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-ven,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-ven,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Acid %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-acid,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-acid,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-acid,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-acid,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-acid,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-acid,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-acid,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-acid,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-acid,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Lightning %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-lig,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-lig,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-lig,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-lig,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-lig,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-lig,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-lig,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-lig,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-lig,11,20,,,,,,,,Weapon,,,,,,,,,,,
Reflect Spark %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,12,,,,10,38,refl-spa,5,7,,,,,,,,Shield,,,,,,,,,,,
,2,1,1,0,20,,,,9,38,refl-spa,8,12,,,,,,,,Shield,,,,,,,,,,,
,3,1,1,0,30,,,,8,38,refl-spa,13,18,,,,,,,,Shield,,,,,,,,,,,
,4,1,1,0,45,,,,7,38,refl-spa,19,25,,,,,,,,Shield,,,,,,,,,,,
,5,1,1,0,60,,,,6,38,refl-spa,26,35,,,,,,,,Shield,,,,,,,,,,,
,6,0,1,1,60,,,,5,38,refl-spa,36,50,,,,,,,,Shield,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,23,,,,10,38,refl-spa,3,6,,,,,,,,Weapon,,,,,,,,,,,
,2,1,1,0,40,,,,8,38,refl-spa,7,10,,,,,,,,Weapon,,,,,,,,,,,
,3,0,1,1,60,,,,6,38,refl-spa,11,20,,,,,,,,Weapon,,,,,,,,,,,
Plus to All Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,35,,,,1,39,all-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,45,,,,1,39,all-sk,1,1,,,,,,,,Chest,,,,,,,,,,,
Plus to Fire Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,30,,,,10,40,fire-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,75,,,,5,40,fire-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,35,,,,10,40,fire-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,80,,,,5,40,fire-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus to Cold Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,30,,,,10,41,cold-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,75,,,,5,41,cold-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,35,,,,10,41,cold-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,80,,,,5,41,cold-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus to Poison Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,30,,,,10,42,psn-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,75,,,,5,42,psn-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,35,,,,10,42,psn-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,80,,,,5,42,psn-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus to Electric Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,30,,,,10,43,elec-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,75,,,,5,43,elec-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,35,,,,10,43,elec-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,80,,,,5,43,elec-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus to Warrior Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,35,,,,10,44,war-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,80,,,,5,44,war-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,40,,,,10,44,war-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,85,,,,5,44,war-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
